,index,company_name,record_date,fei_number,record_type,state,establishment_type_x,publish_date,excerpt,href,pdf_url,pdf_name,firm_name,establishment_type_y,facility_city,auditors,audit_dates,observations,topic_number,topic_probability
4,115,"Isorx, Corp.",2019-09-18,3006624492,483,California,Producer of Sterile Drug Products,2019-11-12,NaN,/media/132341/download,https://www.fda.gov/media/132341/download,Isorx508ed,"Michael J. Whyte, Owner  NAME STREE  , Corp. 845  ","<a °° 5 Marina Bay Parkway, Suite 9  ","Micnhae!: J. why, Gwner  NAME STREI  , Corp. 845  ","en ee em se ee ee ae re ee  Miu. iz | Andrew K. Haack, Investigator  rr tT Cc CTW TIOCAN ODOoOrW CTC SRI OFFA At See rts A Sa       ",DATE(S) OF INSPECTION  ,"VY, SATS ANY 2ir UYU PTRE UP CO ADLISOMMEN! INSEL IEW  Richmond, CA 94804 Producer of Sterile and Non-Sterile Drags                     THIS DOCUMENT usTs OBSERVATIONS MADE BY THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OF YOUR FACILITY. THEY ARE INSPECTIONAL OBSERVATIONS: AND 00 NOT REPRESENT A FINAL AGENCY DETERMINATION REGARDING YOUR COMPLIANCE. IF YOU HAVE AN OBJECTION REGARDING AN OBSERVATION, OR HAVE IMPLEMENTED. OR PLAN TO IMPLEMENT CORRECTIVE ACTION IN RESPONSE TO AN OBSERVATION, YOU MAY DISCUSS THE OBJECTION OR ACTION WITH THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OR SUBMIT THIS INFORMATION TO FDA AT THE ADORESS ABOVE. IF YOU HAVE ANY QUESTIONS, PLEASE CONTACT FDA AT THE PHONE NUMBER AND ADDRESS ABOVE.  DURING AN INSPECTION OF YOUR FIRM (I) (WE) OBSERVED  OBSERVATION | Materials or supplies were not disinfected prior to entering the aseptic processing areas.  Specifically, On 9/11/2019, you removed a pre-sterilized/depyrogenated syringe from the ISO 5 laminar flow hood and cleanroom, which exposed the syringe to unclassified air in your lab space. You then returned this syringe to your ISO 5 nego flow hood. This syringe was used in the production of ]-123 Metaiodobenzylguanidine (MIBG)  b) (6), lot 119141 MIBG, a sterile drug product.     ",6,0.9897580742835999
4,115,"Isorx, Corp.",2019-09-18,3006624492,483,California,Producer of Sterile Drug Products,2019-11-12,NaN,/media/132341/download,https://www.fda.gov/media/132341/download,Isorx508ed,"Michael J. Whyte, Owner  NAME STREE  , Corp. 845  ","<a °° 5 Marina Bay Parkway, Suite 9  ","Micnhae!: J. why, Gwner  NAME STREI  , Corp. 845  ","en ee em se ee ee ae re ee  Miu. iz | Andrew K. Haack, Investigator  rr tT Cc CTW TIOCAN ODOoOrW CTC SRI OFFA At See rts A Sa       ",DATE(S) OF INSPECTION  ,"Disinfecting agents and cleaning wipes used in the ISO 5 classified aseptic processing areas were not sterile.  Specifically,  On 9/11/2019, you used wipes to clean the interior of your ISO 5 laminar flow hoods that were not labeled as sterile. These wipes are used for your pre-operational cleaning of the laminar flow hood. This ISO 5 laminar flow hood was used to produce I-123 Metaiodobenzylguanidine (MIBG) Rx (6) (6), lot 119141MIBG, a sterile drug product.        ",14,0.08091158419847488
4,115,"Isorx, Corp.",2019-09-18,3006624492,483,California,Producer of Sterile Drug Products,2019-11-12,NaN,/media/132341/download,https://www.fda.gov/media/132341/download,Isorx508ed,"Michael J. Whyte, Owner  NAME STREE  , Corp. 845  ","<a °° 5 Marina Bay Parkway, Suite 9  ","Micnhae!: J. why, Gwner  NAME STREI  , Corp. 845  ","en ee em se ee ee ae re ee  Miu. iz | Andrew K. Haack, Investigator  rr tT Cc CTW TIOCAN ODOoOrW CTC SRI OFFA At See rts A Sa       ",DATE(S) OF INSPECTION  ,"Sporicidal agents were not used in your facility's cleanrooms and/or ISO 5 classified aseptic processing area.  Add Continuation Page  Nee tg me arm mer eee a es  Richmond, CA 94804 Prochtter of sani and Non-Sterile Drugs     Specifically,  You do not require a specific contact time for the (f u -sporicidal that you apply to your ISO 5 laminar flow hoods. This sporicidal was used to clean the —— flow hood used to produce I-123 Metaiodobenzylguanidine (MIBG) Rx (6) (6), lot 119141 MIBG, a sterile drug product.        ",11,0.2912905216217041
4,115,"Isorx, Corp.",2019-09-18,3006624492,483,California,Producer of Sterile Drug Products,2019-11-12,NaN,/media/132341/download,https://www.fda.gov/media/132341/download,Isorx508ed,"Michael J. Whyte, Owner  NAME STREE  , Corp. 845  ","<a °° 5 Marina Bay Parkway, Suite 9  ","Micnhae!: J. why, Gwner  NAME STREI  , Corp. 845  ","en ee em se ee ee ae re ee  Miu. iz | Andrew K. Haack, Investigator  rr tT Cc CTW TIOCAN ODOoOrW CTC SRI OFFA At See rts A Sa       ",DATE(S) OF INSPECTION  ,"Batch production and control records are not prepared for each batch of drug product produced and do not include complete information relating to the production and control of each batch.  Specifically,  You do not maintain production records for the manufacture of drug products. Also your production records do not include a quality verification that the steps of production have been performed correctly. One example includes I-123 Caps USP, Rx (6) (6), lot 119105, made on 7/9/2019. Examples of omissions on the batch record for this product includes but is not limited to: lack of listing the steps taken to manufacture this product, the identity/ amounts of raw materials used in manufacturing, and these records are not signed and dated.     *DATES OF INSPECTION 9/09/2019(Mon), 9/10/2019(Tue), 9/11/2019( Wed), 9/12/2019(Thu), 9/16/2019(Mon), 9/17/2019(Tue), 9/18/2019 (Wed)  Add Continuation Page  ",14,0.3784935474395752
5,186,Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center,2019-11-15,3011158388,483,South Carolina,Outsourcing Facility,2020-05-04,NaN,/media/137539/download,https://www.fda.gov/media/137539/download,Nephron508ed,"Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ",   503B Outsourcing Facility  ,"INEM LO PMALMaASS Uae VUE PEE aL UNG Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ","a ee, SS See ee OR eS eee eee  Jared P Stevens, Investigator Seneca D Toms, Investigator     ",   34N s/NO/NANAWAH 414/40 /9AnA Hs  ,"Test procedures relative to appropriate laboratory testing for sterility are not written and followed.  Specifically, the firm's written procedures for conducting (6) (4) rapid sterility testing are deficient in that:  1. Finished drug product (b) (4) rapid sterility test samples deemed by firm personnel to be “background  too high”, verbally defined as samples displaying more than®™™ events, are not fully examined. The firm  (b) (4) . If this  discards the sample results and the product lot is { (b) (4) | “background too high”, the firm will (b) (4)           ». No investigations are conducted for test deemed as “background too high”. Samples have been deemed “background too high” approximately 23 times in the last 90 days.  Additionally, during the execution of rapid sterility sample preparation on November 4, a laboratory analyst was observed practicing poor aseptic technique including passing their hands over open containers and exposed samples on at least three occasions, which could lead to the introduction of microbial and particulate contamination of the samples.  2. There is no written definition of “background too high” in the firm’s procedure, which was verbally described as samples with more than®)@) events.  3. There are no instructions for the firm’s practice of discarding samples deemed to have “background too high” and then (6) (4)  . The firm does not have procedures requiring eye exams for individuals that conduct review of rapid sterility test sample results (b) (4) examination.  . Procedures do not require observance of actual positive microbial events by an analyst prior to performance of sterility testing conducted for commercial products. During the inspection it was observed that an individual was allowed to conduct inspection of (6) (4) rapid sterility samples, including (b) (4) prior to the completion of activities to demonstrate they have seen and can identify what a positive microbial event looks like (b) (4)  . For example, during the period from October 3, 2019 to October 29, 2019, a laboratory associate was allowed to conduct finished product rapid sterility testing prior to the associate participating in a method validation on October 29, 2019, where according to firm management they would have seen an identified positive microbial event example for the first time at the firm. During this time, the associate conducted test for multiple lots of product, Cy but not limited to rapid sterility sample ID sets (6) (4), (B) (4), (6) (4)  ) (4)  ",5,0.994906485080719
5,186,Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center,2019-11-15,3011158388,483,South Carolina,Outsourcing Facility,2020-05-04,NaN,/media/137539/download,https://www.fda.gov/media/137539/download,Nephron508ed,"Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ",   503B Outsourcing Facility  ,"INEM LO PMALMaASS Uae VUE PEE aL UNG Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ","a ee, SS See ee OR eS eee eee  Jared P Stevens, Investigator Seneca D Toms, Investigator     ",   34N s/NO/NANAWAH 414/40 /9AnA Hs  ,"Procedures designed to prevent microbiological contamination of drug products purporting to be sterile are not followed,  Specifically,  -& Your firm failed to follow SOP.CM.4102, Version 6 (dated: 6/3/19) entitled, “Aseptic Processing and Technique”, Section: 6.3.2 Principles of Aseptic Technique as evidenced by the following examples:  a. According to your(b) (4) on 10/26/19, at approximately (b) (4) +) during the filling of Succinylcholine Chloride Injection, USP 200mg/10mL (preservative free), lot # SU9083A, the aseptic technique of your firm’s operator was not adequate as they were observed opening the Luer Lock IV Syringe Cap     containers directly over the firm’s (6) (4) cap scoop containing caps (product contact surface), blocking first air, then was observed opening the door to the (b) 4 ) filling line and touching the feeder containing the Luer Lock IV inge Caps with their gloved hand. In addition, from approximately (b) Sm your firm’s operators were observed sanitizing their gloved hands | prior to personnel monitoring of their sleeves and gloved hands (conducted at approximately  . According to your (6) (4) ), on 10/26/19, at approximately (b) (4) ‘during the filling of Succinylcholine Chloride Injection, USP 200mg/10mL (preservative free), lot # SU9083A an operator was observed moving rapidly within the ISO-5 Clean Room carrying a tote containing Luer Lock IV Syringe Cap containers. The tote and the gloved hands of the operator came in direct contact with the sterile caps that were exposed within the(b) (4) cap scoop. The same operator was observed tossing the Luer Lock IV Syringe Cap containers from one tote to another within the cap loading area.  24. Your firm failed to follow SOP.CM.4928, Version 10 (dated: 9/9/19) entitled, ""Manual  sw Syringe Filling Operations Procedure"", Section: 6.6 Filling Syringes and Section: 6.7 Capping Syringes as evidenced by the following example: on 10/29/19, two technicians were not exhibiting slow and controlled movements within the ISO-5 Hood during the filling and stoppering of Neostigmine Methylsulfate for injection, USP 3mg/3mL (img/mL) preservative free, lot # NE9066 within filling room, (b) (4)  . Your firm’s smoke studies are inadequate as they do not demonstrate that your hood and/or line is designed to prevent microbiological contamination, or to provide high assurance of product sterility as evidenced by the following examples:  a. On 7/25/19, within the firm’s ISO 5 Clean Room, #(6) (4) containing the firm’s (b) (4) filling line, laminar air flow was not demonstrated as turbulent air flow was  observed within the smoke study videos entitled, “July 25, 2019 Bowl.MP4”, “July 25, 2019 Feeder.MP4” and July 25, 2019 Filler.MP4”.  . On 4/25/19, within the firm’s ISO 5 Hood 4% located in Clean Room (b)(4), first air from the (6)(4)) HEPA filter was being blocked by the equipment (repeater pump) within the hood and the video failed to demonstrate laminar airflow around the equipment when open syringes are connected to the filling tubing. In addition, your firm fails to capture the loading and un-loading of components by the additional operators within the ISO 5 Hood (during operations there is a potential forb)(4) operators to be present working within the ISO 5 Hood).  ",16,0.8120179176330566
5,186,Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center,2019-11-15,3011158388,483,South Carolina,Outsourcing Facility,2020-05-04,NaN,/media/137539/download,https://www.fda.gov/media/137539/download,Nephron508ed,"Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ",   503B Outsourcing Facility  ,"INEM LO PMALMaASS Uae VUE PEE aL UNG Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ","a ee, SS See ee OR eS eee eee  Jared P Stevens, Investigator Seneca D Toms, Investigator     ",   34N s/NO/NANAWAH 414/40 /9AnA Hs  ,"Aseptic processing areas are deficient regarding the system for monitoring environmental conditions.  Specifically,  l. Your firm failed to follow SOP.MB.4501, Version 17 (dated: 8/19/19) entitled, “Environmental and Personnel Monitoring”, Section: 6.3.5 Personnel Sampling as evidenced by the following example: on 10/30/19, during personnel monitoring, technicians were observed quickly tapping their fingertips to each media plate, rather than rolling their fingers to capture the gloved hands utilized during aseptic production. In addition, one technician was observed with wet gloves from previously spraying them with(6) (4) prior to sampling which is inadequate and not considered representative of aseptic production.  . Your firm’s SOP.MB.4501, Version 17 (cate 8/19/19) entitled, “Environmental and Personnel Monitoring”, Attachment 20-Sampling for’ (b) (4); inadequate as evidenced by the following  example: surface samples are not conducted for the (b) (4) cap scooper at the completion  of the (6) (4) filling process (6) (4). The(b)(4) cap scooper is utilized to dispense the sterile Luer Lock IV Syringe caps (product contact surface) into the cap hopper inside the  (b) (4) filling line.  ",9,0.8010767102241516
5,186,Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center,2019-11-15,3011158388,483,South Carolina,Outsourcing Facility,2020-05-04,NaN,/media/137539/download,https://www.fda.gov/media/137539/download,Nephron508ed,"Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ",   503B Outsourcing Facility  ,"INEM LO PMALMaASS Uae VUE PEE aL UNG Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ","a ee, SS See ee OR eS eee eee  Jared P Stevens, Investigator Seneca D Toms, Investigator     ",   34N s/NO/NANAWAH 414/40 /9AnA Hs  ,"Written procedures for sampling and testing plans are not followed for each drug product.  Specifically, your firm failed to follow SOP.QC.4301, Version 19 (dated: 8/20/19), Section: 6.5 100% Syringe Visual Inspection as evidenced by the following example: on 10/29/19, your firm’s technician was observed exhibiting poor technique while quickly and incompletely inverting the sterile syringes (clear plastic) during the visual inspection process for Phenylephrine HCL Injection, 10 mL lot #PE9194A.  ",15,0.5919908285140991
5,186,Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center,2019-11-15,3011158388,483,South Carolina,Outsourcing Facility,2020-05-04,NaN,/media/137539/download,https://www.fda.gov/media/137539/download,Nephron508ed,"Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ",   503B Outsourcing Facility  ,"INEM LO PMALMaASS Uae VUE PEE aL UNG Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ","a ee, SS See ee OR eS eee eee  Jared P Stevens, Investigator Seneca D Toms, Investigator     ",   34N s/NO/NANAWAH 414/40 /9AnA Hs  ,"Aseptic processing areas are deficient in that floors and walls are not smooth and/or hard surfaces that are easily cleanable.  Specifically, your firm’s ISO-7 Clean rooms (b) (4) _) where aseptic processing is performed contain floor drains which appear un-clean and stained. Additionally, on 10/30/19, blue painter’s tape was observed affixed to the corner of your firm’s clean room wall (b) (4)) and glass frame covering the gap between areas. The floor drains and blue painter’s tape cannot be easily cleaned or sanitized.  ",18,0.31153616309165955
5,186,Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center,2019-11-15,3011158388,483,South Carolina,Outsourcing Facility,2020-05-04,NaN,/media/137539/download,https://www.fda.gov/media/137539/download,Nephron508ed,"Nephron Pharmaceuticals Corporation dba Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ",   503B Outsourcing Facility  ,"INEM LO PMALMaASS Uae VUE PEE aL UNG Nephron Sterile Compounding Center          West Columbia, SC 29172-3025  ","a ee, SS See ee OR eS eee eee  Jared P Stevens, Investigator Seneca D Toms, Investigator     ",   34N s/NO/NANAWAH 414/40 /9AnA Hs  ,"Aseptic processing areas are deficient regarding the system for cleaning and disinfecting the room and equipment to produce aseptic conditions.  Specifically, your firm failed to follow SOP.SR.2501, Version 18.0, Cleaning of Classified Environments for Nephron 503b Outsourcing Facility (dated: 8/15/2019), Section 6 — Procedure, as evidenced by the following example: on 10/28/19, during the formulation of Neostigmine, Img/mL (3mL) lot #NE9066 it was observed that within Compounding Suite™®, Room | ™® (1SQ-7), the base of the loading ramp leading onto the floor ‘production scale contains a black-colored substance and is stained. The cleaning log for that suite, ; Floor Cleanroom Cleaning/Sanitization Log, (PR: 1002134), effective 8/28/2019, shows startup cleaning prior to formulation, on 10-28-2019, however the observed growth within the classified area does not support that cleaning within the suite was adequate.  ",6,0.7946593165397644
