Citation Program Area,Cite Id,Reference Number,Short Description,Long Description,Frequency
Drugs,1274,21 CFR 211.68(a),Calibration/Inspection/Checking not done,"Routine [calibration] [inspection] [checking] of  [automatic] [mechanical] [electronic] equipment is not performed according to a written program designed to assure proper performance.  Specifically, ***",63
Drugs,1112,21 CFR 211.25(a),"Training--operations, GMPs, written procedures","Employees are not given training in [the particular operations they perform as part of their function] [current good manufacturing practices] [written procedures required by current good manufacturing practice regulations].  Specifically, ***",53
Drugs,1434,21 CFR 211.42(c)(10)(iv),Environmental Monitoring System,"Aseptic processing areas are deficient regarding the system for monitoring environmental conditions.  Specifically, ***",52
Drugs,1890,21 CFR 211.165(e),Test methods ,"The [accuracy] [sensitivity] [specificity] [reproducibility] of test methods have not been [established] [documented].  Specifically, ***",49
Drugs,2009,21 CFR 211.188,"Prepared for each batch, include complete information","Batch production and control records [are not prepared for each batch of drug product produced] [do not include complete information relating to the production and control of each batch].  Specifically, ***",46
Drugs,1452,21 CFR 211.113(b),Validation lacking for sterile drug products,"Procedures designed to prevent microbiological contamination of drug products purporting to be sterile did not include [adequate] validation of the [aseptic] [sterilization] process.  Specifically, ***",42
Drugs,1358,21 CFR 211.100(b),SOPs not followed / documented,"Written production and process control procedures are not [followed in the execution of production and process control functions] [documented at the time of performance].  Specifically, ***",40
Drugs,1809,21 CFR 211.160(a),Following/documenting laboratory controls,"Established [specifications] [standards] [sampling plans] [test procedures] [laboratory control mechanisms] are not [followed] [documented at the time of performance].  Specifically, ***",40
Drugs,1111,21 CFR 211.25(a),"Training , Education , Experience overall","Employees  engaged in the [manufacture] [processing] [packing] [holding] of a drug product lack the [education] [training] [experience] required to perform their assigned functions.  Specifically, ***",39
Drugs,2031,21 CFR 211.194(a),Complete test data included in records,"Laboratory records do not include complete data derived from all tests, examinations and assay necessary to assure compliance with established specifications and standards.  Specifically, , ***",38
Drugs,1435,21 CFR 211.42(c)(10)(v),Cleaning System,"Aseptic processing areas are deficient regarding the system for cleaning  and disinfecting the [room] [equipment] to produce aseptic conditions.  Specifically, ***",37
Drugs,9001,21 CFR 211.22(a),Lack of quality control unit,"There is no quality control unit.  Specifically, ***",36
Drugs,4402,21 CFR 211.192,Written record of investigation incomplete,"Written records of investigations into [unexplained discrepancies] [the failure of a batch or any of its components to meet specifications] do not [always] include the conclusions and follow-up.  Specifically, ***",34
Drugs,4389,21 CFR 211.198(a),Procedures to be written and followed,"Procedures describing the handling of all written and oral complaints regarding a drug product are not [established] [written] [followed].  Specifically, ***",32
Drugs,4303,21 CFR 211.67(b),Written procedures fail to include,"Written procedures for cleaning and maintenance fail to include [assignment of responsibility] [maintenance and cleaning schedules] [description in sufficient detail of methods, equipment and materials used] [description in sufficient detail of the methods of disassembling and reassembling equipment as necessary to assure proper cleaning and maintenance] [instructions for removal or obliteration of previous batch identification] [instructions for protection of clean equipment from contamination prior to use] [parameters relevant to the operation].  Specifically, ***",31
Drugs,1450,21 CFR 211.113(a),Procedures for non-sterile drug products,"Procedures designed to prevent objectionable microorganisms in drug products not required to be sterile are not [established] [written] [followed].  Specifically, ***",30
Drugs,1912,21 CFR 211.166(a),Written program not followed,"The written stability testing program is not followed.  Specifically, ***",29
Drugs,4391,21 CFR 211.180(e)(2),Items to cover on annual reviews,"Written procedures are not [established] [followed] for evaluations done at least annually and including provisions for a review of [complaints] [recalls] [returned or salvaged drug products] [investigations conducted for each drug product].  Specifically, ***",29
Drugs,4314,21 CFR 211.84(d)(2),Reports of Analysis (Components),"Reports of analysis from component suppliers are accepted in lieu of testing each component for conformity with all appropriate written specifications, without [performing at least one specific identity test on each component] [establishing the reliability of the supplier's analyses through appropriate validation of the supplier's test results at appropriate intervals].  Specifically, ***",28
Drugs,2012,21 CFR 211.188(b),Batch production and Batch Control Record Requirements,"The batch production and control records are deficient in that they do not include documentation of the accomplishment of each significant step in [manufacturing] [processing] [packing] [holding].  Specifically, ***",27
Drugs,4576,21 CFR 211.192,No written record of investigation,"Written records are not [always] made of investigations into [unexplained discrepancies] [the failure of a batch or any of its components to meet specifications].  Specifically, ***",26
Drugs,2401,21 CFR 211.194(a)(4),Complete Test Data,"Laboratory records are deficient in that they do not include a complete record of all data obtained during testing.  Specifically, ***",24
Drugs,3632,21 CFR 211.170(b),Annual visual exams of drug products,"Reserve samples from representative sample lots or batches of drug products selected by acceptable statistical procedures are not examined visually at least once a year for evidence of deterioration.  Specifically, ***",24
Drugs,1540,21 CFR 211.125(a),Strict control not exercised over labeling issued,"Strict control is not exercised over labeling issued for use in drug product labeling operations.  Specifically, ***",22
Drugs,1767,21 CFR 211.137(a),Expiration date lacking,"Drug products do not bear an expiration date determined by appropriate stability data to assure they meet applicable standards of identity, strength, quality and purity at the time of use.  Specifically, ***",22
Drugs,1920,21 CFR 211.166(a)(3),Valid stability test methods,"The written stability program for drug products does not include [reliable] [meaningful] [specific] test methods.  Specifically, ***",22
Drugs,2028,21 CFR 211.192,"Extent of discrepancy, failure  investigations","Investigations of [an unexplained discrepancy] [a failure of a batch or any of its components to meet any of its specifications]  did not extend to [other batches of the same drug product] [other drug products that may have been associated with the specific failure or discrepancy].  Specifically, ***",22
Drugs,2419,21 CFR 211.198(a),Complaint Handling Procedure,"Procedures describing the handling of written and oral complaints related to drug products are [not written or followed] [deficiently written or followed].  Specifically, ***",22
Drugs,1133,21 CFR 211.25(a),GMP Training Frequency,"GMP training is not conducted [on a continuing basis] [with sufficient frequency] to assure that employees remain familiar with CGMP requirements applicable to them.  Specifically, ***",21
Drugs,1885,21 CFR 211.165(b),Microbiological testing,"Each batch of drug product required to be free of objectionable microorganisms is not tested through appropriate laboratory testing.  Specifically, ***",21
Drugs,4342,21 CFR 211.142(b),Storage under appropriate conditions,"Drug products are not stored under appropriate conditions of [temperature] [humidity] [light] so that their identity, strength, quality, and purity are not affected.  Specifically, ***",21
Drugs,3602,21 CFR 211.160(a),Deviations from laboratory control requirements,"Deviations from written [specifications] [standards] [sampling plans] [test procedures] [laboratory mechanisms] are not [recorded] [justified].  Specifically, ***",20
Drugs,1787,21 CFR 211.80(a),Procedures To Be in Writing,"Written procedures are lacking which describe in sufficient detail the [receipt] [identification] [storage] [handling] [sampling] [testing] [approval] [rejection] of [components] [drug product containers] [closures].  Specifically, ***",19
Drugs,1810,21 CFR 211.160(a),"Lab controls established, including changes","The establishment of [specifications] [standards] [sampling plans] [test procedures] [laboratory control mechanisms] including any changes thereto, are not [drafted by the appropriate organizational unit] [reviewed and approved by the quality control unit].  Specifically, ***",18
Drugs,3565,21 CFR 211.58,Buildings not maintained in good state of repair,"Buildings used in the [manufacturing] [processing] [packing] [holding] of a drug product are not maintained in a good state of repair.  Specifically, ***",18
Drugs,1844,21 CFR 211.84(d)(2),Establish reliability of supplier's C of A,"Establishment of the reliability of the component supplier's report of analyses is deficient in that the test results are not appropriately validated at appropriate intervals.  Specifically, ***",17
Drugs,18938,FDCA 501(a)(2)(A),"Hazardous drugs, prevention of cross-contamination","You produced hazardous drugs without providing adequate [containment] [segregation] [cleaning of work surfaces] [cleaning of utensils] [cleaning of personnel] to prevent cross-contamination.  Specifically, ***",16
Drugs,1033,21 CFR 211.22(a),"Authority lacking to review records, investigate errors","The quality control unit lacks authority  to [review production records to assure that no errors have occurred] [fully investigate errors that have occurred].  Specifically, ***",15
Drugs,1098,21 CFR 211.22(c),Approve or reject procedures or specs,"The quality control unit lacks responsibility to [approve] [reject] all procedures or specifications impacting on the [identity] [strength] [quality] [purity] of drug products.  Specifically, ***",15
Drugs,1227,21 CFR 211.67(c),Cleaning/maintenance records not kept,"Records are not kept for the [maintenance] [cleaning] [sanitizing] [inspection] of equipment.  Specifically, ***",15
Drugs,1975,21 CFR 211.182,Written records kept in individual logs,"Written records of major equipment [cleaning] [maintenance] [use]  are not included in individual equipment logs.  Specifically, ***",15
Drugs,2026,21 CFR 211.192,Quality control unit review of records,"Drug product production and control records, are not [reviewed] [approved] by the quality control unit to determine compliance with all established, approved written procedures before a batch is released or distributed.  Specifically, ***",15
Drugs,3547,21 CFR 211.46(b),Equipment for Environmental Control,"Equipment for adequate control over [air pressure] [micro-organisms] [dust] [humidity] [temperature] is not provided when appropriate for the manufacture, processing, packing or holding of a drug product.  Specifically, ***",15
Drugs,3611,21 CFR 211.160(b)(3),Acceptance of drug products,"Determinations of conformance to appropriate written specifications for acceptance are [not made] [deficient] for drug products.  Specifically, ***",15
Drugs,4352,21 CFR 211.160(b)(4),"Calibration - at intervals, written program, remedial action","The calibration of [instruments] [apparatus] [gauges] [recording devices] is not done at suitable intervals [in accordance with an established written program] [with provisions for remedial action in the event accuracy and/or precision limits are not met].  Specifically, ***",15
Drugs,1049,21 CFR 211.22(a),"Approve or reject components, products ","The quality control unit lacks the responsibility and authority to [approve] [reject] all [components] [drug product containers] [closures] [in process materials] [packaging material] [labeling] [drug products].  Specifically, ***",14
Drugs,1159,21 CFR 211.28(a),Clothing appropriate for duties performed,"Clothing of personnel engaged in the [manufacturing] [processing] [packing] [holding] of drug products is not  appropriate for the duties they perform.  Specifically, ***",14
Drugs,1448,21 CFR 211.111,Establishment of time limitations,"Time limits are not established when appropriate  for the completion of each production phase to assure the quality of the drug product.  Specifically, ***",14
Drugs,1932,21 CFR 211.167(a),Sterility/pyrogen-free testing ,"Each batch of drug product purporting to be [sterile] [pyrogen-free] is not laboratory tested to determine conformance to such requirements.  Specifically, ***",14
Drugs,3559,21 CFR 211.56(a),"Sanitation--buildings not clean, free of infestation","Buildings used in the manufacture, processing, packing or holding of drug products are not [maintained in a clean and sanitary condition] [free of infestation by rodents, birds insects, and other vermin]. Specifically, ***",14
Drugs,3572,21 CFR 211.100(b),Procedure Deviations Recorded and Justified,"Deviations from written production and process control procedures are not [recorded] [justified].  Specifically, ***",14
Drugs,1194,21 CFR 211.42(c),Defined areas of adequate size for operations,"The [separate or defined areas] [control systems] necessary to prevent contamination or mix-ups are deficient.  Specifically, ***",13
Drugs,1790,21 CFR 211.80(b),Handling and Storage to Prevent Contamination,"There was a failure to handle and store [components] [drug product containers] [closures] at all times in a manner to prevent contamination.  Specifically, ***",13
Drugs,3571,21 CFR 211.100(a),"Changes to Procedures Not Reviewed, Approved","Changes to written procedures are  not [drafted, reviewed and approved by the appropriate organizational unit] [reviewed and approved by the quality control unit].  Specifically, ***",13
Drugs,4401,21 CFR 211.186(b)(9),"Complete instructions, procedures, specifications et. al.","Master production and control records lack [complete manufacturing and control instructions] [sampling and testing procedures] [specifications] [special notations] [precautions to be followed].  Specifically, ***",13
Drugs,1220,21 CFR 211.67(b)(3),Cleaning SOPs/instructions,"Procedures for the cleaning and maintenance of equipment are deficient regarding sufficient detail of the methods, equipment, and materials used in the cleaning and maintenance operation, and the methods of disassembly and reassembling equipment as necessary to assure proper cleaning and maintenance.  Specifically, ***
",12
Drugs,1270,21 CFR 211.68(b),input/output verification,"Input to and output from [the computer] [related systems of formulas] [records or data] are not checked for accuracy.  Specifically, *** ",12
Drugs,1942,21 CFR 211.180(e),Records reviewed annually ,"Records are not maintained so that data therein can be reviewed at least annually to evaluate the quality standards of each drug product to determine the need for changes in specifications or manufacturing or control procedures.  Specifically, ***",12
Drugs,3613,21 CFR 211.160(b)(4),Establishment of calibration procedures,"Procedures describing the calibration of instruments, apparatus, gauges and recording devices are [not written or followed] [deficiently written or followed].  Specifically, ***",12
Drugs,4315,21 CFR 211.84(d)(2),Testing Each Component for Conformity with Specs,"Each component is not tested for conformity with all appropriate written specifications for purity, strength, and quality.  Specifically, ***",12
Drugs,4340,21 CFR 211.142,Written warehousing procedures established/followed,"Procedures describing the warehousing of drug products are not [established] [followed].  Specifically, ***",12
Drugs,17764,21 CFR 212.20(e),"Written QA procedures established, followed","You did not [establish] [follow] written quality assurance procedures. Specifically,***",12
Drugs,21377,FDCA 501(a)(2)(A),Use of non-pharmaceutical grade components,"You used a non-pharmaceutical grade component in the formulation of a drug product.  Specifically, ***",12
Drugs,1833,21 CFR 211.84(d)(1),Identity Testing of Each Component,"The identity of each component of a drug product is not verified by conducting at least one test to verify the identity, using specific identity tests if they exist.  Specifically, ***",11
Drugs,1879,21 CFR 211.180(c),Records not made readily available to FDA,"Records associated with drug product [components] [containers] [closures] [labeling] [production] [control] [distribution] and within the retention period for such records, were not made readily available for authorized inspection.  Specifically, ***",11
Drugs,4382,21 CFR 211.198(b)(2),"Written record of complaint to include findings, follow-up","Written records of investigation of a drug complaint do not include [the findings of the investigation] [the follow-up].  Specifically, ***",11
Drugs,18961,FDCA 501(a)(2)(A),"Air flow quality, higher classified area","Your facility design allowed the influx of poor quality air into a higher classified area.  Specifically, ***",11
Drugs,21376,21 CFR 212.30(a),"Orderly handling, prevention of mix-ups, prevention of contamination","Your facilities are not adequate to ensure [the orderly handling of materials and equipment] [the prevention of mix-ups] [the prevention of contamination of equipment or product by substances, personnel, or environmental conditions] that could reasonably be expected to have an adverse effect on product quality.  Specifically, ***",11
Drugs,1421,21 CFR 211.42(c)(10),Aseptic Processing Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding operations related to aseptic processing of drug products.  Specifically,***",10
Drugs,1891,21 CFR 211.165(f),Failing drug products not rejected,"Drug products failing to meet established [standards] [specifications] [quality control criteria] are not rejected.  Specifically, ***",10
Drugs,3583,21 CFR 211.110(a),Written in-process control procedures,"Written procedures are not [established] [followed] that describe the [in-process controls] [tests] [examinations] to be conducted on appropriate samples of in-process materials of each batch.  Specifically, ***",10
Drugs,4306,21 CFR 211.80(a),Written Procedures Not Followed,"Written procedures are not followed for the [receipt] [identification] [storage] [handling] [sampling] [testing] [approval] [rejection] of [components] [drug product containers] [closures].  Specifically, ***",10
Drugs,4357,21 CFR 211.166(a),"Results not used for expiration dates, storage cond.","Results of stability testing are not used in determining [appropriate storage conditions] [expiration dates].  Specifically, ***",10
Drugs,1219,21 CFR 211.67(b)(2),Cleaning SOPs/schedules,"Procedures for the cleaning and maintenance of equipment are deficient regarding maintenance and cleaning schedules, including, where appropriate, sanitizing schedules.  Specifically, ***",9
Drugs,1395,21 CFR 211.103,Actual vs. theoretical yields not determined,"Actual yield and percentages of theoretical yield are not determined at the conclusion of each appropriate phase of [manufacturing] [processing] [packaging] [holding] of the drug product.  Specifically, ***",9
Drugs,1430,21 CFR 211.42(c)(10)(i),"Floors, walls, ceiling surfaces","Aseptic processing areas are deficient in that [floors] [walls] [ceilings] are not smooth and/or hard surfaces that are easily cleanable. Specifically,***",9
Drugs,1433,21 CFR 211.42(c)(10)(iii),Air Supply,"Aseptic processing areas are deficient regarding air supply that is filtered through high-efficiency particulate air filters under positive pressure.  Specifically, ***",9
Drugs,1842,21 CFR 211.84(d)(1),Component identity verification,"Drug product component testing is deficient in that at least one specific test to verify the identity of each component is not performed.  Specifically,***",9
Drugs,1943,21 CFR 211.180(e)(1),Review of representative number of batches,"Written procedures are not [established] [followed] for  evaluations conducted at least annually to review records associated with a representative number of batches, whether approved or rejected.  Specifically, ***",9
Drugs,2020,21 CFR 211.188(b)(8),Labeling Control Records and Label Copies,"The batch production and control records are deficient in that they do not  include [complete labeling control records] [specimen] [copy] of labeling.  Specifically, ***",9
Drugs,8907,21 CFR 314.81(b)(1)(ii),"Contamination, chemical or physical change, deterioration","An NDA-Field Alert Report was not submitted within three working days of receipt of information concerning [bacteriological contamination] [significant chemical, physical, or other change or deterioration] in a distributed drug product.   Specifically, ***",9
Drugs,17763,21 CFR 212.20(d),Determination need for investigation,"When errors occurred or a production batch or any component of the batch, failed to meet specifications, you did not [determine the need for an investigation] [conduct an investigation] [take appropriate corrective actions] when necessary.  Specifically, ***",9
Drugs,18956,FDCA 501(a)(2)(A),"Cleanliness, ISO-classified areas","The ISO 5 classified aseptic processing areas had [difficult to clean] [particle-generating] [visibly dirty] equipment or surface.  Specifically, ***",9
Drugs,1162,21 CFR 211.28(a),Protective Apparel Not Worn,"Protective apparel is not worn as necessary to protect drug products from contamination.  Specifically, ***",8
Drugs,1505,21 CFR 211.122(d),Label storage access limited to authorized personnel,"Access to the storage area for labels and labeling materials is not limited to authorized personnel.  Specifically, ***",8
Drugs,1926,21 CFR 211.166(b),Adequate number of batches on stability,"An adequate number of batches of each drug product are not tested [nor are records of such data maintained] to determine an appropriate expiration date.  Specifically, ***",8
Drugs,2033,21 CFR 211.194(c),Testing and standardization of standards et. al.,"Laboratory records do not include complete records of any testing and standardization of laboratory [reference standards] [reagents] [standard solutions].  Specifically, ***",8
Drugs,3570,21 CFR 211.100(a),Approval and review of procedures,"Written procedures are not [drafted, reviewed and approved by the appropriate organizational units] [reviewed and approved by the quality control unit].  Specifically, ***",8
Drugs,3629,21 CFR 211.170(b),"Reserve samples identified, representative, stored","Reserve drug product samples  are not [appropriately identified] [representative of each lot or batch of drug product] [retained and stored under conditions consistent with product labeling].  Specifically, ***",8
Drugs,4413,21 CFR 211.194(a)(8),Second person sign off,"Laboratory records do not include the initials or signature of a second person showing that the original records have been reviewed for [accuracy] [completeness] [compliance with established standards].  Specifically, ***",8
Drugs,21295,21 CFR 211.110(b),"In-process conformity - examination, sample testing","Your examination and testing of samples did not assure that the drug product and in-process material conformed to specifications.  Specifically, ***",8
Drugs,1169,21 CFR 211.42(a),"Buildings of Suitable Size, Construction, Location","Buildings used in the manufacture, processing, packing, or holding of a drug product do not have the suitable [size] [construction] [location] to facilitate cleaning, maintenance, and proper operations.  Specifically, ***",7
Drugs,1436,21 CFR 211.42(c)(10)(vi),Equipment to control conditions,"Aseptic processing areas are deficient regarding systems for maintaining any equipment used to control the aseptic conditions.  Specifically, *** 
",7
Drugs,1550,21 CFR 211.125(f),Procedures Written and Followed,"Procedures describing in sufficient detail the controls employed for the issuance of labeling are not [written] [followed]. Specifically, ***",7
Drugs,1801,21 CFR 211.84(a),Components withheld from use pending release,"Each lot of [components] [drug product containers] [closures] is not withheld  from use until the lot has been sampled, tested, examined, and released by the quality control unit.  Specifically, ***",7
Drugs,1823,21 CFR 211.84(c)(4),Top/Middle/Bottom container sampling,"Sampling procedures are deficient regarding sampling components from the top, middle, and bottom of container.  Specifically, ***
",7
Drugs,2008,21 CFR 211.186(a),Written procedures followed,"Procedures for the preparation of master production and control records are not [described in a written procedure] [followed].  Specifically, *** ",7
Drugs,2034,21 CFR 211.194(d),Laboratory equipment calibration records,"Laboratory records do not include complete records of the periodic calibration of laboratory [instruments] [apparatus] [gauges] [recording devices].  Specifically, ***",7
Drugs,2205,21 CFR 211.186(b)(9),Manufacturing Instructions and Specifications,"The master production and control records are deficient in that they do not include complete [manufacturing] [control] [instructions] [sampling] [testing] [procedures] [specifications] [special notations] [precautions].  Specifically, ***",7
Drugs,4373,21 CFR 211.188(b)(7),"Actual yield, % of theoretical yield","The batch production and control records do not include a statement of the [actual yield] [percentage of theoretical yield] at appropriate stages of processing for each batch of drug product produced.  Specifically, ***",7
Drugs,4399,21 CFR 211.186(b)(7),Theoretical yield statement including percentages,"Master production and control records lack a statement of theoretical yield [including the maximum and minimum percentages of theoretical yield beyond which investigation is required].  Specifically, ***",7
Drugs,4418,21 CFR 211.42(b),Adequate space lacking  to prevent mix-ups and contamination,"The building lacks adequate space for the orderly placement of equipment and materials to prevent mix-ups between [different components] [drug product containers] [closures] [labeling] [in-process materials] [drug products] and to prevent contamination.  Specifically, *** ",7
Drugs,8911,21 CFR 314.81(b)(1)(ii),Failure to meet specifications,"An NDA-Field Alert Report was not submitted within three working days of receipt of information concerning a failure of one or more distributed batches of a drug to meet the specifications established for it in the application.   Specifically, ***",7
Drugs,18936,FDCA 501(a)(2)(A),"Non-microbial contamination, production area","Non-microbial contamination was observed in your production area.  Specifically, ***",7
Drugs,18970,FDCA 501(a)(2)(A),"Disinfecting and cleaning agents, ISO 5 area","Disinfecting agents and [cleaning pads] [cleaning wipes] used in the ISO 5 classified aseptic processing areas were not sterile.  Specifically, ***",7
Drugs,18973,FDCA 501(a)(2)(A),"Disinfecting materials, aseptic processing area","[Equipment was] [Materials or supplies were] not disinfected prior to entering the aseptic processing areas.  Specifically, ***",7
Drugs,21373,21 CFR 212.30(b),Equipment procedures,"You did not [implement procedures] [document your activities in accordance with your procedures] to ensure that all equipment is [cleaned] [suitable for its intended purposes] [properly installed, maintained, and capable of repeatedly producing valid results] that could reasonably be expected to adversely affect the identity, strength, quality, or purity of a PET drug, or give erroneous or invalid test results when improperly used or maintained.  Specifically, ***",7
Drugs,1079,21 CFR 211.22(a),Contract drug products--lack of responsibility,"The quality control unit lacks responsibility for approving or rejecting drug products [manufactured] [processed] [packed] [held] under contract by another company.  Specifically, ***",6
Drugs,1136,21 CFR 211.25(c),Inadequate number of  personnel,"The number of qualified  personnel is inadequate to [perform] [supervise] the [manufacture] [processing] [packing] [holding] of each drug product. Specifically, ***",6
Drugs,1256,21 CFR 211.68(b),Backup file not maintained,"Failure to maintain a backup file of data entered into the computer or related system.  Specifically, ***",6
Drugs,3616,21 CFR 211.165(d),Acceptance criteria for sampling & testing,"Acceptance criteria for the sampling and testing conducted by the quality control unit is not adequate to assure that batches of drug products meet [each appropriate specification] [appropriate statistical quality control criteria] as a condition for their approval and release.  Specifically, ***",6
Drugs,4304,21 CFR 211.68(b),Written record not kept of program and validation data,"A written record of the program along with appropriate validation data has not been maintained in situations where backup data is eliminated by computerization or other automated processes.  Specifically, ***",6
Drugs,4353,21 CFR 211.160(b)(4),"Instruments, apparatus, et. al. not meeting specs","The use of [instruments] [apparatus] [gauges] [recording devices] not meeting established specifications was observed.   Specifically, ***",6
Drugs,4359,21 CFR 211.170(b)(1),"Retention time of reserve samples, in general","You did not retain reserve samples for drug products for one year after the expiration dates of the drug products.  Specifically, ***",6
Drugs,4406,21 CFR 211.194(a)(2),Suitability of testing methods verified,"The suitability of all testing methods is not verified under actual conditions of use.  Specifically, ***",6
Drugs,6730,21 CFR 314.80(b),Failure to develop written procedures,"Written procedures have not been developed for the [surveillance] [receipt] [evaluation] [reporting to FDA] of post marketing adverse drug experiences. Specifically, ***",6
Drugs,6732,21 CFR 314.80(c)(1)(i),Late submission of 15-day report,"Not all adverse drug experiences that are both serious and unexpected have been reported to FDA within 15 calendar days of initial receipt of the information.  Specifically, ***",6
Drugs,17812,21 CFR 212.50,Adequate controls (general),"Your firm lacks adequate production and process controls to ensure the consistent production of a PET drug that meets the applicable standards of identity, strength, quality and purity.  Specifically,***",6
Drugs,17851,21 CFR 212.60(c),Analytical methods,"Your laboratory analytical methods are not [suitable for their intended use] [sufficiently sensitive] [sufficiently specific] [sufficiently accurate] [sufficiently reproducible].  Specifically, ***",6
Drugs,18008,FDCA 503B(a)(10),"Drug product label, outsourcer facility","The labels of your outsourcing facility's drug products are deficient.  Specifically,***",6
Drugs,18939,FDCA 501(a)(2)(A),"Highly potent drugs, prevention of cross-contamination","You produced highly potent drugs without providing adequate [containment] [segregation] [cleaning of work surfaces] [cleaning of utensils] [cleaning of personnel] to prevent cross-contamination.  Specifically, ***",6
Drugs,18941,FDCA 501(a)(2)(A),"Improper gowning, contamination","Personnel donned gowning apparel improperly, in a way that may have caused the gowning apparel to become contaminated.  Specifically, ***",6
Drugs,18942,FDCA 501(a)(2)(A),"Personnel habits, contamination","Personnel did not [disinfect] [change gloves frequently enough] to prevent contamination.  Specifically, ***",6
Drugs,18960,FDCA 501(a)(2)(A),"Flow of personnel and materials, facility","Your facility was designed and/or operated in a way that permits poor flow of [personnel] [materials].  Specifically, ***",6
Drugs,1174,21 CFR 211.42(b),Product flow through building is inadequate,"The flow  of [components] [drug product containers] [closures] [labeling] [in-process materials ] [drug products] though the building is not designed to prevent contamination.  Specifically, ***",5
Drugs,1223,21 CFR 211.67(b)(5),Cleaning SOPs/equipment protection,"Procedures for the cleaning and maintenance of equipment are deficient regarding the protection of clean equipment from contamination prior to use.  Specifically, ***",5
Drugs,1626,21 CFR 211.130,"Procedures are written, and followed","Procedures designed to assure that correct [labels] [labeling] [packaging materials] are used for drug products are not [written] [followed].  Specifically, ***",5
Drugs,1851,21 CFR 211.84(e),Rejecting  When Specifications Not Met,"Failure to reject any lot of [components] [drug product containers] [closures] that did not meet the appropriate written specifications for identity, strength, quality, and purity.  Specifically, ***",5
Drugs,2011,21 CFR 211.188(a),Accurate reproduction,"The batch production and control records are deficient in that they are not [an accurate reproduction of the appropriate master production or control record] [checked for accuracy, dated, and signed].  Specifically, ***",5
Drugs,2023,21 CFR 211.188(b)(11),Identification of Persons Performing Significant Steps,"The batch production and control records are deficient in that they do not include identification of persons [performing] [supervising] [checking] each significant step in the operation.  Specifically, ***",5
Drugs,3445,21 CFR 211.65(a),Equipment construction - reactive surfaces,"Equipment surfaces that contact [components] [in-process materials] [drug products] are reactive, additive or absorptive so as to alter the safety, identity, strength, quality, or purity of the drug product beyond the official or other established requirements.  Specifically, ***",5
Drugs,3567,21 CFR 211.84(d)(2),Component identification test,"Specific identification tests are not conducted on components that have been accepted based on the supplier's report of analysis.  Specifically, ***",5
Drugs,3582,21 CFR 211.105(a),"Identification of containers, lines, equipment","All [compounding and storage containers] [processing lines] [major equipment] used during the production of a batch of drug product is not properly identified at all times to indicate [contents] [the phase of processing of the batch].  Specifically, *** ",5
